model,scenario,skill,brier,prev,auc,citl,slope,oe,ici,logloss,nb_0.01,nb_0.02,nb_0.05,nb_0.1,sens,spec,ppv,npv,referral,skill_lo,brier_lo,prev_lo,auc_lo,citl_lo,slope_lo,oe_lo,ici_lo,logloss_lo,nb_0.01_lo,nb_0.02_lo,nb_0.05_lo,nb_0.1_lo,sens_lo,spec_lo,ppv_lo,npv_lo,referral_lo,skill_hi,brier_hi,prev_hi,auc_hi,citl_hi,slope_hi,oe_hi,ici_hi,logloss_hi,nb_0.01_hi,nb_0.02_hi,nb_0.05_hi,nb_0.1_hi,sens_hi,spec_hi,ppv_hi,npv_hi,referral_hi
LR-AUG,S0,0.04752979378719102,0.022487954472809952,0.02419556489693684,0.82547953461489,-0.03187948754250565,1.2159789989324004,0.9704709468890329,0.004299492935457082,0.09651879053381421,0.016843029789517853,0.014105814307360291,0.005878177434426532,0.0018496468746358563,0.8523899277544468,0.6976107438987731,0.06532867503140555,0.9947808087775566,0.3156968330455713,0.03194057187280751,0.018288041079906038,0.019671788402776204,0.7717574946453217,-0.2140218088387913,0.9549984253033683,0.8024693587824525,-0.004514042957926024,0.0797477523714386,0.012724209496048484,0.010217451327914273,0.0033943722151089494,0.00034454287924821437,0.773026152214901,0.6756833727112089,0.05381192296718603,0.9915646015876418,0.2940265343339937,0.06311901570157454,0.026687867865713866,0.028719341391097476,0.8792015745844582,0.15026283375378002,1.4769595725614324,1.1384725349956133,0.013113028828840188,0.11328982869618982,0.020961850082987222,0.017994177286806308,0.008361982653744115,0.003354750870023498,0.9317537032939925,0.7195381150863372,0.07684542709562506,0.9979970159674714,0.33736713175714883
LR-AUG,S1,0.025557175163501866,0.023006731064492168,0.02419556489693684,0.7773792646214978,0.02072222630392161,1.1961860461992153,1.0200046589199305,0.006450096405171399,0.10291376615497554,0.01628454498916024,0.011759430789847602,0.003511217801735621,-5.235709588796646e-05,0.7148252521171828,0.7116033856825763,0.05790014406254421,0.9901609799244919,0.29871429609722017,0.016345483698631508,0.018770500201678773,0.019671788402776204,0.7355178200234848,-0.1679181869810254,0.9759461926135233,0.8345388452822502,0.0029056093699452146,0.08637450744258479,0.012068578171812474,0.00752345487535526,0.0016611073580780147,-0.000643707593600965,0.6026473841419652,0.6853033777904058,0.0453220985506351,0.9863551810903705,0.2705618581145706,0.034768866628372225,0.027242961927305562,0.028719341391097476,0.8192407092195108,0.20936263958886864,1.4164258997849073,1.2054704725576109,0.009994583440397583,0.11945302486736628,0.02050051180650801,0.015995406704339944,0.005361328245393228,0.0005389934018250321,0.8270031200924005,0.7379033935747468,0.07047818957445331,0.9939667787586134,0.3268667340798697
LR-AUG,S2,0.04583688028079014,0.022527924396918888,0.02419556489693684,0.829654364373364,-0.06846293788201456,1.2832594539425655,0.9374573523682441,0.006201623462703029,0.09685384543223165,0.016910234684119986,0.013658174410772904,0.005784453834688124,0.0012132059814351438,0.871680327676817,0.6719376674984394,0.06181078925309262,0.9952871282630771,0.3412154769829661,0.031784112960579654,0.01834694776215187,0.019671788402776204,0.7723239761941821,-0.24972092386007866,0.9839595520262745,0.7754113644272459,0.00099268945868132,0.08026640558871032,0.012759576088784048,0.009750051325274955,0.002742335694460011,-0.00020784670769108697,0.7945782145788503,0.6481977280287985,0.05052180300764397,0.9920647543799782,0.3182543380148272,0.05988964760100062,0.026708901031685904,0.028719341391097476,0.8869847525525459,0.11279504809604955,1.5825593558588564,1.0995033403092425,0.011410557466724739,0.11344128527575298,0.021060893279455924,0.017566297496270852,0.008826571974916238,0.0026342586705613747,0.9487824407747838,0.6956776069680803,0.07309977549854127,0.998509502146176,0.364176615951105
LR-AUG,S3,0.04408578764955706,0.02256926793828321,0.02419556489693684,0.8141560151835112,-0.06608885617727007,1.2721459291555672,0.9394010254957079,0.00477241905220055,0.0980232564541278,0.016787766280316054,0.013605360236217782,0.005396658628971015,0.0015174825307014265,0.8185545191590675,0.6724095993441803,0.05834216561456527,0.9933535600983135,0.3394695548471324,0.029314941623473457,0.018355252958504327,0.019671788402776204,0.7548915482917746,-0.2535442179057787,0.9573992098318722,0.7708631707363369,-0.003033406703427566,0.08090622989069088,0.012679748232624848,0.009508185811212693,0.002949799418279857,5.5613603869673596e-05,0.7092288434470924,0.6496332825791444,0.048844560980013045,0.988438616124665,0.3174126193987259,0.05885663367564067,0.02678328291806209,0.028719341391097476,0.8734204820752478,0.12136650555123853,1.5868926484792623,1.107938880255079,0.012578244807828667,0.11514028301756471,0.02089578432800726,0.01770253466122287,0.007843517839662174,0.0029793514575331796,0.9278801948710427,0.6951859161092162,0.06783977024911748,0.9982685040719621,0.36152649029553896
LR-AUG,S4,0.04148970123507789,0.022630561900777238,0.02419556489693684,0.8210616748390489,-0.07584971418520128,1.224709380150771,0.9309981075423202,0.004490328565340929,0.0975233742928884,0.017174911704299755,0.01351853444698597,0.005719561024776971,0.001000086836088209,0.818162462365448,0.6797542808831035,0.05957362097860406,0.9934107886018211,0.33229309599143825,0.027941164286350698,0.018387048834223176,0.019671788402776204,0.7686864568142453,-0.2535584048548596,0.9643475310557885,0.7732831271773168,-0.0035614207196585784,0.08061093677848,0.013135789016664123,0.009665399267075206,0.003066137664653088,-0.00028587956498389014,0.7091092056301788,0.6578632822377658,0.049764523901177096,0.9885362529552693,0.3112692253352014,0.055038238183805085,0.0268740749673313,0.028719341391097476,0.8734368928638525,0.10185897648445699,1.4850712292457533,1.0887130879073235,0.012542077850340436,0.11443581180729681,0.021214034391935387,0.017371669626896735,0.008372984384900854,0.002286053237160308,0.9272157191007172,0.7016452795284412,0.06938271805603102,0.9982853242483729,0.3533169666476751
LR-AUG,S5,0.023075141545680244,0.02306533222454261,0.02419556489693684,0.7735184791907623,-0.031829856389369256,1.2342497962975838,0.9699797621408737,0.007066762606049955,0.10368655219127047,0.01591826480702414,0.012492323484246448,0.0031850598617826293,0.00026017299905933193,0.7459310413841329,0.685120661458369,0.055480265499887174,0.9908886573782252,0.32530887799169184,0.015239197709681,0.01884168943064189,0.019671788402776204,0.7275431318886698,-0.22078777727720647,0.986379455226388,0.793004157873685,0.0033415573418892645,0.08741081489159777,0.011730101470231992,0.008068086623497634,0.0012576516228531174,-0.00035611150400973823,0.6140328128403396,0.6586625939738309,0.04442909775762576,0.9857109970620376,0.2976954527194893,0.03091108538167949,0.027288975018443334,0.028719341391097476,0.8194938264928548,0.15712806449846797,1.4821201373687796,1.1469553664080623,0.010791967870210646,0.11996228949094317,0.020106428143816288,0.016916560344995262,0.005112468100712141,0.0008764575021284021,0.8778292699279262,0.7115787289429072,0.06653143324214858,0.9960663176944128,0.3529223032638944
LR-AUG,S6,0.038582329971997065,0.022699205341982272,0.02419556489693684,0.8110477640980273,-0.11449106825660871,1.3107088388463601,0.8970874050384873,0.0049370428966001145,0.09897315979451927,0.016675840223460414,0.012981661453475705,0.005261145731241401,0.0006794055922554154,0.8165727319161896,0.6423668675272709,0.053581320025741716,0.9929694447014393,0.36873743533483755,0.026214607096012324,0.018447570434958562,0.019671788402776204,0.7522944796925097,-0.2977992835069089,0.9852517818526996,0.7391586841573259,-0.002608261168890652,0.08178006409908077,0.012611985961310222,0.008891097191590324,0.0027676785399504515,-0.0005110881365827517,0.703786703542435,0.6177963602345702,0.04416900606628267,0.9876680055051745,0.3455073547112783,0.050950052847981805,0.026950840249005983,0.028719341391097476,0.8698010485035448,0.06881714699369143,1.6361658958400207,1.0550161259196487,0.012482346962090881,0.11616625548995778,0.020739694485610607,0.017072225715361086,0.00775461292253235,0.0018698993210935824,0.9293587602899442,0.6669373748199716,0.06299363398520076,0.9982708838977041,0.3919675159583968
LR-AUG,S7,0.04350723140956769,0.02258292773183893,0.02419556489693684,0.8209215248104523,-0.026143063632241652,1.2025493313792488,0.9756753634017792,0.0037877098489700915,0.09725744364717556,0.016862737955739567,0.013932460977537857,0.005558169846958773,0.0012729802206714433,0.8440964708283661,0.6953939797852338,0.064293383411488,0.9944717148809035,0.3176592964238652,0.029216460817438256,0.018353372526169427,0.019671788402776204,0.7672148655104428,-0.20766924451346327,0.9451564953046014,0.8070590091037112,-0.008191198214087696,0.0803439207149024,0.012804058934415479,0.010073802687517893,0.002986289765505185,-0.00013959036214851298,0.7643166612951253,0.6725502968691439,0.05233899252201008,0.9912010505562864,0.2954044574151795,0.05779800200169713,0.02681248293750843,0.028719341391097476,0.8746281841104618,0.15538311724898,1.4599421674538962,1.144291717699847,0.015766617912027877,0.11417096657944872,0.020921416977063654,0.01779111926755782,0.008130049928412361,0.0026855508034913994,0.923876280361607,0.7182376627013236,0.07624777430096592,0.9977423792055206,0.3399141354325509
LR-PS,S0,0.04713549046985965,0.022497264029151753,0.02419556489693684,0.8263422524336201,-0.05837155788447599,1.3044449773464402,0.9463725436775753,0.005041249349040193,0.0968900765462923,0.016953808469632802,0.013681886231049949,0.0062584355352565055,0.0018781403840750248,0.8585416726531824,0.6915084759569334,0.06455214889292174,0.9949533092833933,0.3218002981103323,0.03233383473656504,0.018311952753772228,0.019671788402776204,0.7743965701136335,-0.24014906276849587,1.0450957431108983,0.7820956798344889,-0.000808916352997192,0.0805233410274534,0.012839541151864602,0.009700358472851014,0.003849109449226737,0.0005307578312328436,0.7796642272977085,0.6672149015925741,0.052970884388358966,0.9917865667596588,0.2977438239529185,0.06193714620315427,0.02668257530453128,0.028719341391097476,0.8782879347536068,0.12340594699954391,1.563794211581982,1.1106494075206617,0.010891415051077578,0.11325681206513119,0.021068075787401004,0.017663413989248884,0.008667761621286274,0.003225522936917206,0.9374191180086563,0.7158020503212927,0.07613341339748451,0.9981200518071278,0.3458567722677461
LR-PS,S1,0.02831032011433554,0.02294172892803945,0.02419556489693684,0.7827824224804475,-0.04097642592734972,1.191008845741031,0.9616961994659428,0.005949787508373161,0.10215163799740358,0.016187120461322656,0.012664987286302257,0.004268351921167661,0.0008305733192914885,0.7707780672895949,0.6836510056615359,0.05697187512939312,0.9917548412736402,0.3273441624641081,0.01764629479533519,0.018718964269437293,0.019671788402776204,0.7415038922023636,-0.2200430705120574,0.9571765980654136,0.7961316926064043,0.003231938446688172,0.08570798742545559,0.01202596835456236,0.008481470722643561,0.0018462134469368133,-0.00045949316752613386,0.6835344842439359,0.6600984879970787,0.04743219573760443,0.9882928723523874,0.30205880474549457,0.03897434543333589,0.027164493586641605,0.028719341391097476,0.8240609527585314,0.138090218657358,1.4248410934166484,1.1272607063254814,0.00866763657005815,0.11859528856935157,0.020348272568082953,0.016848503849960953,0.006690490395398509,0.0021206398061091106,0.8580216503352538,0.7072035233259931,0.0665115545211818,0.995216810194893,0.3526295201827216
