var,mean_w_P,mean_w_L
RIDAGEYR,46.87752077585772,47.32377193281097
BMXBMI,29.3113198535657,29.156374392928967
WHTR,0.5912392634691248,0.5889936919310298
BMXWAIST,99.15132619328678,98.92524678186706
SBP_MEAN,121.18095951647338,120.39349101447188
PAD680,351.06569276862035,362.04188560802794
INDFMPIR,3.166628920325095,3.0922186855924467
LTPA_ANY,0.5710522629824205,0.8432951027625126
