cycle,threshold,n,events,prev_unweighted,prev_weighted
P,6.5,6644,237,0.03567128236002408,0.024053578643190646
P,5.7,6644,2345,0.352950030102348,0.27075073652695325
P,6.35,6644,306,0.04605659241420831,0.030722139223801927
P,6.65,6644,159,0.023931366646598434,0.015327734546502637
L,6.5,4826,128,0.02652300041442188,0.022856951185387477
L,5.7,4826,1474,0.30542892664732696,0.2669595585450911
L,6.35,4826,172,0.035640281806879406,0.0304199270865971
L,6.65,4826,78,0.016162453377538334,0.014490907642276797
