learner,method,hp,wlogloss,label
LGB,PS-S0,"{'num_leaves': 31, 'min_child_samples': 50, 'learning_rate': 0.05}",0.12737378864548,
LGB,PS-S0,"{'num_leaves': 31, 'min_child_samples': 50, 'learning_rate': 0.1}",0.1553637278524843,
LGB,PS-S1,"{'num_leaves': 7, 'min_child_samples': 20, 'learning_rate': 0.05}",0.10820604859699176,
LGB,PS-S1,"{'num_leaves': 7, 'min_child_samples': 20, 'learning_rate': 0.1}",0.11331628687005837,
LGB,PS-S1,"{'num_leaves': 7, 'min_child_samples': 50, 'learning_rate': 0.05}",0.10742734937095606,
LGB,PS-S1,"{'num_leaves': 7, 'min_child_samples': 50, 'learning_rate': 0.1}",0.11192090954401507,
LGB,PS-S1,"{'num_leaves': 15, 'min_child_samples': 20, 'learning_rate': 0.05}",0.11206597327326527,
LGB,PS-S1,"{'num_leaves': 15, 'min_child_samples': 20, 'learning_rate': 0.1}",0.12157180673509095,
LGB,PS-S1,"{'num_leaves': 15, 'min_child_samples': 50, 'learning_rate': 0.05}",0.11111396498183854,
LGB,PS-S1,"{'num_leaves': 15, 'min_child_samples': 50, 'learning_rate': 0.1}",0.12266319306035553,
LGB,PS-S1,"{'num_leaves': 31, 'min_child_samples': 20, 'learning_rate': 0.05}",0.12176050828686957,
LGB,PS-S1,"{'num_leaves': 31, 'min_child_samples': 20, 'learning_rate': 0.1}",0.1419321932102083,
LGB,PS-S1,"{'num_leaves': 31, 'min_child_samples': 50, 'learning_rate': 0.05}",0.12321603279841242,
LGB,PS-S1,"{'num_leaves': 31, 'min_child_samples': 50, 'learning_rate': 0.1}",0.14468645383003118,
LGB,PS-S2,"{'num_leaves': 7, 'min_child_samples': 20, 'learning_rate': 0.05}",0.10369473763212919,
LGB,PS-S2,"{'num_leaves': 7, 'min_child_samples': 20, 'learning_rate': 0.1}",0.10843586040096309,
LGB,PS-S2,"{'num_leaves': 7, 'min_child_samples': 50, 'learning_rate': 0.05}",0.10341059999097901,
LGB,PS-S2,"{'num_leaves': 7, 'min_child_samples': 50, 'learning_rate': 0.1}",0.10812992588417923,
LGB,PS-S2,"{'num_leaves': 15, 'min_child_samples': 20, 'learning_rate': 0.05}",0.10979851801379682,
LGB,PS-S2,"{'num_leaves': 15, 'min_child_samples': 20, 'learning_rate': 0.1}",0.12333886993310209,
LGB,PS-S2,"{'num_leaves': 15, 'min_child_samples': 50, 'learning_rate': 0.05}",0.11050850790792509,
LGB,PS-S2,"{'num_leaves': 15, 'min_child_samples': 50, 'learning_rate': 0.1}",0.12200719113909783,
LGB,PS-S2,"{'num_leaves': 31, 'min_child_samples': 20, 'learning_rate': 0.05}",0.12270864044030454,
LGB,PS-S2,"{'num_leaves': 31, 'min_child_samples': 20, 'learning_rate': 0.1}",0.14867539459030263,
LGB,PS-S2,"{'num_leaves': 31, 'min_child_samples': 50, 'learning_rate': 0.05}",0.12406449836063568,
LGB,PS-S2,"{'num_leaves': 31, 'min_child_samples': 50, 'learning_rate': 0.1}",0.1516688331656091,
LGB,PS-S3,"{'num_leaves': 7, 'min_child_samples': 20, 'learning_rate': 0.05}",0.1049031646137316,
LGB,PS-S3,"{'num_leaves': 7, 'min_child_samples': 20, 'learning_rate': 0.1}",0.11159029685830779,
LGB,PS-S3,"{'num_leaves': 7, 'min_child_samples': 50, 'learning_rate': 0.05}",0.10607207192817023,
LGB,PS-S3,"{'num_leaves': 7, 'min_child_samples': 50, 'learning_rate': 0.1}",0.11201537422920363,
LGB,PS-S3,"{'num_leaves': 15, 'min_child_samples': 20, 'learning_rate': 0.05}",0.11103426385773764,
LGB,PS-S3,"{'num_leaves': 15, 'min_child_samples': 20, 'learning_rate': 0.1}",0.12589471417345796,
