model,scenario,skill,brier,prev,auc,citl,slope,oe,ici,logloss,nb_0.01,nb_0.02,nb_0.05,nb_0.1,skill_lo,brier_lo,prev_lo,auc_lo,citl_lo,slope_lo,oe_lo,ici_lo,logloss_lo,nb_0.01_lo,nb_0.02_lo,nb_0.05_lo,nb_0.1_lo,skill_hi,brier_hi,prev_hi,auc_hi,citl_hi,slope_hi,oe_hi,ici_hi,logloss_hi,nb_0.01_hi,nb_0.02_hi,nb_0.05_hi,nb_0.1_hi
LR-AUG+recal,S0,0.03506802068936632,0.021551283875187226,0.022856951185387477,0.8155885361619593,-0.05304476029451019,1.056392013485783,0.9514910471110611,0.004937059496410345,0.09385296268822337,0.016700930320136476,0.012119834849971672,0.0040303346578248606,0.000483573114484655,0.012535714227252696,0.017383430015634038,0.018034748762094217,0.7692853668323952,-0.2404137744871107,0.858497867508343,0.7846624474126519,-0.002772396150396844,0.07860129515095023,0.011823368731053593,0.0075670420154937785,0.0005606500681430548,-0.0014046311437994812,0.057600327151479946,0.025719137734740414,0.027679153608680736,0.8618917054915233,0.13432425389809033,1.2542861594632229,1.1183196468094703,0.012646515143217534,0.1091046302254965,0.021578491909219358,0.016672627684449565,0.007500019247506666,0.002371777372768791
LR-AUG+recal,S1,0.010837416145591194,0.02209246257812893,0.022856951185387477,0.7231785320334676,0.005716455157641131,0.8880864756833154,1.0054789011718062,0.004666588703728808,0.10229847279628153,0.014525574783426655,0.008579650680630716,0.0007924741242866379,-0.0007059793155127271,0.0014665416331023067,0.01759516767968201,0.018034748762094217,0.6746602880198598,-0.1972116564697908,0.6915761749928102,0.8094209581377622,0.001872021269537769,0.08384362804274072,0.010566243348303,0.005625658990732762,-0.0015701202023009411,-0.0018074361522349162,0.02020829065808008,0.02658975747657585,0.027679153608680736,0.7716967760470754,0.20864456678507307,1.0845967763738207,1.20153684420585,0.0074611561379198475,0.12075331754982234,0.01848490621855031,0.01153364237052867,0.003155068450874217,0.0003954775212094621
LR-AUG+recal,S2,0.03435509926765523,0.02156720662649968,0.022856951185387477,0.815064526326736,-0.08554928804169988,1.1045671299565167,0.9226870183520646,0.005503300739360485,0.09417344257389147,0.016369726772219744,0.011187575043870208,0.0034256804508868664,0.0003396320800685506,0.013037179208044813,0.017374493270819753,0.018034748762094217,0.7709748038937037,-0.280341324623903,0.911876319728932,0.7537875078253458,0.0025060713491421214,0.07927098903954437,0.011512430262010397,0.006522409960559289,0.00015606221560017595,-0.0015037878676972224,0.05567301932726565,0.025759919982179608,0.027679153608680736,0.8591542487597683,0.10924274854050321,1.2972579401841013,1.0915865288787834,0.008500530129578849,0.10907589610823858,0.02122702328242909,0.015852740127181127,0.006695298686173557,0.002183052027834324
LR-AUG+recal,S3,0.03845318712602663,0.021475677838279483,0.022856951185387477,0.8214913912436792,-0.08762536538816373,1.2089209220262265,0.9205508596284308,0.005512298006602322,0.09353595302493736,0.016196019796148986,0.012432364271811262,0.003736511833132376,0.0011232924228346043,0.01707456915794594,0.017300789791121866,0.018034748762094217,0.7737248216793278,-0.27916876276616764,0.9709171128328254,0.7540180245412961,0.0018584640104095046,0.07860862027337949,0.011348799794990094,0.007944116398870263,0.00047034829416975127,-0.0007856414242402845,0.05983180509410733,0.0256505658854371,0.027679153608680736,0.8692579608080306,0.1039180319898402,1.4469247312196274,1.0870836947155653,0.00916613200279514,0.10846328577649524,0.021043239797307878,0.01692061214475226,0.0070026753720950005,0.003032226269909493
LR-AUG+recal,S4,0.033880052505303015,0.0215778165636237,0.022856951185387477,0.8192194157978843,-0.09131709135385575,1.117326860362404,0.9176597345968375,0.005250416929021179,0.09372507832760404,0.016270610219659306,0.01261333734604589,0.004221762461204779,0.0012412275895097146,0.009782435345105731,0.01737059974885213,0.018034748762094217,0.7727184494899384,-0.2772352386201805,0.8923270689963221,0.7570193930410523,0.001771115856052212,0.07850029666161981,0.011354487834950345,0.008119789075570517,0.0008387348792574826,-0.0009941109467638013,0.0579776696655003,0.02578503337839527,0.027679153608680736,0.8657203821058301,0.09460105591246899,1.342326651728486,1.0783000761526227,0.008729718001990147,0.10894985999358828,0.021186732604368267,0.017106885616521263,0.007604790043152075,0.0034765661257832306
LR-AUG+recal,S5,0.009325804395387993,0.022126223687343044,0.022856951185387477,0.7033994447767213,-0.04814676936925215,0.8842445180445564,0.9549391522784717,0.0058408184847645725,0.10316957509630748,0.014799123864506372,0.008058266763359264,0.0007233035684749969,-0.0007538991391254788,0.0011097430969589268,0.01761126989365118,0.018034748762094217,0.6537172035529497,-0.2562818840576848,0.6893146412200276,0.7632834464508331,-0.00018307350078857441,0.08493028241153301,0.01039252075840916,0.004780593396233259,-0.001655954624138698,-0.0012639595539532854,0.01754186569381706,0.02664117748103491,0.027679153608680736,0.753081686000493,0.15998834531918055,1.079174394869085,1.1465948581061103,0.01186471047031772,0.12140886778108194,0.019205726970603583,0.01133594013048527,0.003102561761088692,-0.0002438387242976721
LR-PS+recal,S0,0.03441141725040742,0.021565948791896213,0.022856951185387477,0.8112755659691839,-0.052111941535263925,1.0462843110425548,0.9523206770968021,0.0028560756779445183,0.0942548306021007,0.01653895153302493,0.01202562015478668,0.004456569542411806,0.0008384331960632862,0.011330460770606884,0.017401924312357542,0.018034748762094217,0.7638342317548443,-0.24358643519119177,0.8468188365310988,0.7816413621776213,-0.0020972150557651164,0.07909066855690566,0.011656004021908146,0.007411336169464884,0.0008385872150158029,-0.0012870586704393635,0.05749237373020795,0.025729973271434885,0.027679153608680736,0.8587169001835235,0.13936255212066395,1.245749785554011,1.122999992015983,0.007809366411654153,0.10941899264729574,0.021421899044141712,0.016639904140108477,0.008074551869807808,0.002963925062565936
LR-PS+recal,S1,0.009136493932255352,0.022130451843958218,0.022856951185387477,0.7292635294932053,-0.056299307060042804,0.8104120171828013,0.9480262716118847,0.005009495883718052,0.10208958548726701,0.015060556873353725,0.009407311543537486,0.0006030524954620965,-0.001415990825829168,-0.0027477241944225596,0.01766449695488613,0.018034748762094217,0.6775906784522899,-0.25218870889077444,0.6213263099621705,0.771585866497053,0.0010923851096447806,0.0833240795731435,0.0110748280503257,0.006567340850840378,-0.0019275051848680036,-0.0025015738299370236,0.021020712058933265,0.026596406733030306,0.027679153608680736,0.7809363805341206,0.13959009477068882,0.9994977244034321,1.1244666767267164,0.008926606657791323,0.12085509140139053,0.01904628569638175,0.012247282236234593,0.0031336101757921966,-0.00033040782172131275
LR-PS+recal,S2,0.031334941431955365,0.021634660374805898,0.022856951185387477,0.8150560304413881,-0.04093257256924503,0.9714236019022761,0.962613140347695,0.005280537485364627,0.09398202109146624,0.016912039448530043,0.011503882370648033,0.0038774686924002233,0.0003505987260819894,0.005659616850516084,0.017467494020720075,0.018034748762094217,0.7704489046705949,-0.23793510071444285,0.7918320580710227,0.7865543902921713,0.00211865911231767,0.07901691576293862,0.012039327455527339,0.0065689267390405415,0.0005169928567361998,-0.0016186157999037738,0.05701026601339465,0.02580182672889172,0.027679153608680736,0.8596631562121813,0.15606995557595277,1.1510151457335294,1.1386718904032187,0.008442415858411583,0.10894712641999385,0.021784751441532746,0.016438838002255526,0.0072379445280642465,0.0023198132520677525
LR-PS+recal,S3,0.03737860719521968,0.02149967805552997,0.022856951185387477,0.8255062802202247,-0.045740186509045655,1.0396446877110925,0.9582264683530071,0.004560553131503184,0.09268336320865221,0.016835293161931764,0.012272498264938841,0.004377891425934959,0.0008285235000221082,0.012590557919087818,0.017364808064500695,0.018034748762094217,0.780258046193619,-0.24067868553516053,0.8429891954947519,0.7841965576511094,0.0012446398468392607,0.07776661298378255,0.01193159444789883,0.007805624513979811,0.0014873964574154972,-0.0014550990808242814,0.06216665647135154,0.025634548046559246,0.027679153608680736,0.8707545142468303,0.14919831251706922,1.2363001799274331,1.1322563790549047,0.007876466416167108,0.10760011343352187,0.0217389918759647,0.016739372015897872,0.007268386394454421,0.0031121460808684978
