model,scenario,skill,brier,prev,auc,citl,slope,oe,ici,logloss,nb_0.01,nb_0.02,nb_0.05,nb_0.1,skill_lo,brier_lo,prev_lo,auc_lo,citl_lo,slope_lo,oe_lo,ici_lo,logloss_lo,nb_0.01_lo,nb_0.02_lo,nb_0.05_lo,nb_0.1_lo,skill_hi,brier_hi,prev_hi,auc_hi,citl_hi,slope_hi,oe_hi,ici_hi,logloss_hi,nb_0.01_hi,nb_0.02_hi,nb_0.05_hi,nb_0.1_hi
LR57-AUG,S0,0.17702360200131206,0.16105002290162695,0.2669595585450911,0.7746103668492056,-0.08408493311144434,1.015044435560263,0.9512502564952452,0.018308611314924627,0.48494376726984545,0.2595551096415062,0.25213188123982283,0.2300465596043939,0.1996450699241255,0.14904639019961255,0.14834257966407022,0.2382644376694118,0.7527831449996409,-0.2063837943128046,0.9116321123409953,0.8810653027908979,0.0077079334909797,0.4525155064091434,0.23057013906001192,0.22290094583515657,0.20098965690004902,0.17117435231285855,0.20500081380301158,0.1737574661391837,0.29565467942077045,0.7964375886987702,0.038213928089915916,1.1184567587795307,1.0214352101995925,0.028909289138869552,0.5173720281305475,0.28854008022300043,0.2813628166444891,0.2591034623087388,0.22811578753539247
LR57-AUG,S1,0.1386437849227814,0.16856065192390357,0.2669595585450911,0.7474731166777939,-0.10355079863280689,1.0540851994442018,0.9373473525999143,0.024249134603211788,0.5056107245267557,0.2595551096415062,0.2519995495358073,0.22799252488104302,0.1939067504818445,0.11548204005538917,0.1556940431975763,0.2382644376694118,0.7244491011759662,-0.2346549288150766,0.9346417898984997,0.8591326343649159,0.008541907846143983,0.4738854945542066,0.23057013906001192,0.2227188139483795,0.19806119747916773,0.16619824297871075,0.16180552979017362,0.18142726065023085,0.29565467942077045,0.7704971321796217,0.027553331549462823,1.173528608989904,1.0155620708349127,0.039956361360279594,0.5373359544993048,0.28854008022300043,0.28128028512323505,0.2579238522829183,0.22161525798497825
LR57-AUG,S2,0.17805523846267113,0.160848139741755,0.2669595585450911,0.775775107388347,-0.08411822625198465,1.051090022459228,0.9508426048758114,0.020068301960893715,0.48409283062169106,0.2595551096415062,0.2520436825271029,0.23149691867980096,0.19983859350210995,0.1511203643745175,0.14835337628534434,0.2382644376694118,0.7547423792087926,-0.20424944579432158,0.9486115223940333,0.8813400424848643,0.00877858898188449,0.4523124793883115,0.23057013906001192,0.22277950418880682,0.20249049395078386,0.17122543047632738,0.20499011255082475,0.17334290319816564,0.29565467942077045,0.7968078355679014,0.036012993290352305,1.1535685225244223,1.0203451672667585,0.03135801493990294,0.5158731818550707,0.28854008022300043,0.281307860865399,0.26050334340881803,0.2284517565278925
LR57-AUG,S3,0.17789265104611673,0.16087995682329376,0.2669595585450911,0.7746747216535647,-0.04662614953645531,1.048908491721051,0.9722511138109206,0.019575597787284148,0.4844494384815331,0.2595551096415062,0.2521433513962978,0.2299896925050746,0.19977083480067614,0.15144706938184702,0.14817342518545148,0.2382644376694118,0.753394584782498,-0.16927743566735975,0.9430900620567689,0.899718937871167,0.007871636442117644,0.45203719104919343,0.23057013906001192,0.2229215413197735,0.20093671080533912,0.17113803866791533,0.20433823271038645,0.17358648846113603,0.29565467942077045,0.7959548585246313,0.07602513659444915,1.154726921385333,1.0447832897506741,0.03127955913245065,0.5168616859138728,0.28854008022300043,0.2813651614728221,0.2590426742048101,0.22840363093343696
LR57-AUG,S4,0.16730158810817686,0.1629525447284338,0.2669595585450911,0.7678663652997493,-0.09824013247812083,0.9980231524968154,0.9430097825145277,0.01753201186768805,0.49026942288850067,0.2595551096415062,0.2521165129942021,0.23002399602053625,0.19879108071605522,0.139613179245226,0.1504520874959575,0.2382644376694118,0.7465316191508601,-0.2296271457434437,0.8950891075695182,0.8677990037966593,0.006011907162323993,0.45860406258766506,0.23057013906001192,0.22289038290164773,0.20086185760319467,0.17033596205000057,0.1949899969711277,0.17545300196091007,0.29565467942077045,0.7892011114486385,0.03314688078720204,1.1009571974241126,1.0182205612323962,0.02905211657305211,0.5219347831893363,0.28854008022300043,0.2813426430867565,0.25918613443787786,0.22724619938210988
LR57-AUG,S5,0.13876640546302266,0.1685366560464251,0.2669595585450911,0.7480375841868668,-0.10425649277065152,1.092649767830976,0.9364896200881977,0.021693711296473527,0.505449545711746,0.2595551096415062,0.2519995495358073,0.2284780066865806,0.19546662394747644,0.11611124040922148,0.1557924669746566,0.2382644376694118,0.7253612622647462,-0.2338164670973244,0.9698815300656068,0.858657355649366,-0.0037702421122181966,0.4742079030686854,0.23057013906001192,0.2227188139483795,0.19828177675423134,0.16770957328451705,0.16142157051682382,0.1812808451181936,0.29565467942077045,0.7707139061089875,0.025303481556021357,1.215418005596345,1.0143218845270294,0.04715766470516525,0.5366911883548068,0.28854008022300043,0.28128028512323505,0.25867423661892985,0.22322367461043582
LR57-AUG,S6,0.1684464854155412,0.16272849730979647,0.2669595585450911,0.7678660650797289,-0.060429201153758653,1.0322480430556276,0.9640058170536204,0.017041134422636547,0.489645653970767,0.2595551096415062,0.25212131741931937,0.22995708799306955,0.1992884496747252,0.1422411387722721,0.15020479718831142,0.2382644376694118,0.7470692260947153,-0.19232945205636645,0.9264352953370701,0.8861422918301325,0.007413438223620802,0.4579657452202821,0.23057013906001192,0.22289900379424177,0.20078292575304518,0.1705369262818574,0.1946518320588103,0.1752521974312815,0.29565467942077045,0.7886629040647425,0.07147104974884913,1.138060790774185,1.0418693422771084,0.02666883062165229,0.5213255627212519,0.28854008022300043,0.28134363104439697,0.2591312502330939,0.228039973067593
LR57-PS,S0,0.1777232849337198,0.16091310044241408,0.2669595585450911,0.774880042053614,-0.07614038861330713,1.0114402987780688,0.9557788478182665,0.017694379846104936,0.48454858933610623,0.2595551096415062,0.2521915671072994,0.23050600738794635,0.20008809713740286,0.15021080211348375,0.1482613731479923,0.2382644376694118,0.753474865079195,-0.20035592735278784,0.9108944890497148,0.8843431457765752,0.006578104974085657,0.45215458550519894,0.23057013906001192,0.22298817632742352,0.20134074916174027,0.17142818676727883,0.20523576775395586,0.17356482773683587,0.29565467942077045,0.7962852190280331,0.048075150126173596,1.1119861085064229,1.0272145498599579,0.028810654718124214,0.5169425931670135,0.28854008022300043,0.2813949578871753,0.25967126561415244,0.22874800750752688
LR57-PS,S1,0.14017443101728588,0.16826111649473002,0.2669595585450911,0.7489331411786063,-0.10909730795851154,1.057315417273926,0.9342221865396083,0.02563045058544238,0.5045115590963395,0.2595551096415062,0.2519995495358073,0.2275159419718012,0.19582602509024655,0.11424293177518195,0.1549749260764156,0.2382644376694118,0.724553980465604,-0.23364276767291747,0.9285311467224444,0.8601015386496667,0.00965581139229793,0.47211164152497104,0.23057013906001192,0.2227188139483795,0.19773574051218853,0.1667932669115189,0.1661059302593898,0.18154730691304444,0.29565467942077045,0.7733123018916086,0.015448151755894382,1.1860996878254078,1.00834283442955,0.04160508977858683,0.5369114766677079,0.28854008022300043,0.28128028512323505,0.2572961434314138,0.22485878326897418
LR57-PS,S2,0.17772306840701568,0.16091314281499092,0.2669595585450911,0.7755594756688268,-0.08239334113498835,1.0494543861507388,0.9518202385253526,0.019893082668425852,0.48425872548433146,0.2595551096415062,0.2520436825271029,0.23146783383364436,0.1997051365449972,0.1507878541888053,0.1484299820783417,0.2382644376694118,0.7545866872185387,-0.20386112936292772,0.9480663752898131,0.8815178011128734,0.008593876990430882,0.4525553867066131,0.23057013906001192,0.22277950418880682,0.2025447630551624,0.17112300774897848,0.20465828262522606,0.17339630355164012,0.29565467942077045,0.7965322641191148,0.03907444709295102,1.1508423970116646,1.0221226759378317,0.03119228834642082,0.5159620642620498,0.28854008022300043,0.281307860865399,0.26039090461212633,0.2282872653410159
LR57-PS,S3,0.17767171359934586,0.16092319254785256,0.2669595585450911,0.7749207305882759,-0.08228298696550622,1.0433346338648426,0.9518983879064368,0.019694245380707746,0.48468151539625687,0.2595551096415062,0.25208605458233024,0.22993727818036588,0.199650227710594,0.15110564735769197,0.14842918655477258,0.2382644376694118,0.7536722539798205,-0.2059243980022532,0.9398033147841982,0.880391772311189,0.008717212413564067,0.4528598241233628,0.23057013906001192,0.2228651598167343,0.20080208925555731,0.17109926504837045,0.20423777984099975,0.17341719854093254,0.29565467942077045,0.7961692071967313,0.04135842407124077,1.146865952945487,1.0234050035016844,0.030671278347851424,0.516503206669151,0.28854008022300043,0.28130694934792616,0.25907246710517445,0.22820119037281758
LR57-PS,S4,0.17138794439978944,0.16215287686924754,0.2669595585450911,0.7706526576126864,-0.09987266467218742,1.0251561809818495,0.9419458295262012,0.018513884261707407,0.48807953071723004,0.2595551096415062,0.25212539010401536,0.22987599772757356,0.19948555275204355,0.1444419071336181,0.14982225689753878,0.2382644376694118,0.7496150553490052,-0.2290814429078617,0.9201536724916661,0.8678231780993811,0.007731295236147542,0.45683375715451247,0.23057013906001192,0.22290454281955072,0.20070209074216352,0.17103458745313266,0.19833398166596078,0.1744834968409563,0.29565467942077045,0.7916902598763677,0.029336113563486865,1.1301586894720328,1.0160684809530214,0.029296473287267272,0.5193253042799476,0.28854008022300043,0.28134623738848,0.2590499047129836,0.22793651805095444
LR57-PS,S5,0.1413533286565246,0.16803041547795752,0.2669595585450911,0.7494016187601933,-0.09217608984920872,1.086546351011665,0.9437289039330334,0.02384138108220037,0.5037277192288617,0.2595551096415062,0.2519995495358073,0.22895146780471176,0.1969031639183298,0.11636400446826228,0.1549579408230418,0.2382644376694118,0.7255620014235463,-0.21439987032931757,0.9557004125105362,0.8698657378789245,0.008142790169254083,0.4716298667822034,0.23057013906001192,0.2227188139483795,0.19887307307021268,0.16841019451269307,0.16634265284478694,0.18110289013287326,0.29565467942077045,0.7732412360968403,0.030047690630900112,1.217392289512794,1.0175920699871424,0.03953997199514665,0.53582557167552,0.28854008022300043,0.28128028512323505,0.25902986253921084,0.22539613332396652
LR57-PS,S6,0.17146908346853718,0.16213699859022057,0.2669595585450911,0.7707658241307527,-0.10314801665325952,1.030356416829466,0.940046298480803,0.018787892798918984,0.4879984949355555,0.2595551096415062,0.25212539010401536,0.2299180374544406,0.1992778964360792,0.14492021798226104,0.14993925858858587,0.2382644376694118,0.7500592298770444,-0.23288050791658865,0.9247792242020386,0.8656797030337329,0.0075282451168007004,0.45701750986626677,0.23057013906001192,0.22290454281955072,0.20072783201275796,0.17075919827545122,0.1980179489548133,0.17433473859185528,0.29565467942077045,0.7914724183844609,0.02658447461006959,1.1359336094568937,1.0144128939278731,0.030047540481037267,0.5189794800048443,0.28854008022300043,0.28134623738848,0.2591082428961232,0.2277965945967072
LR57-BASE,S0,0.17772328503140455,0.16091310042329793,0.2669595585450911,0.774880042053614,-0.07614038725067974,1.0114402968520173,0.9557788486129197,0.01769437974932459,0.4845485892824148,0.2595551096415062,0.2521915671072994,0.23050600738794635,0.20008809713740286,0.15021080218544883,0.14826137311942855,0.2382644376694118,0.753474865079195,-0.20035592595909835,0.910894487448684,0.8843431465808519,0.0065781048581651375,0.4521545854246294,0.23057013906001192,0.22298817632742352,0.20134074916174027,0.17142818676727883,0.20523576787736028,0.1735648277271673,0.29565467942077045,0.7962852190280331,0.04807515145773886,1.1119861062553507,1.0272145506449877,0.028810654640484046,0.5169425931402002,0.28854008022300043,0.2813949578871753,0.25967126561415244,0.22874800750752688
